age_days,sex,meanCT2,meanCT2u750,meanCT2l250,TCV,TCVu750,TCVl250,WMV,WMVu750,WMVl250,sGMV,sGMVu750,sGMVl250,GMV,GMVu750,GMVl250
2228,Female,2.8802247466730365e-4,2.929202771188203e-4,2.830023020954598e-4,91.92309212014924,97.0364782902849,86.90871987590664,35.751064528456034,38.401081516782945,33.21257235970531,5.47255488058207,5.736331643023605,5.212383803598907,56.22801656648615,59.67448812106396,52.76964148712206
2234.0875,Female,2.879753085417902e-4,2.928711321309166e-4,2.829571941753625e-4,91.95983498711063,97.07647496781598,86.94229506824192,35.77973496191685,38.43123889729534,33.23979264812228,5.475234681577775,5.7391257831350035,5.214950626935194,56.232134218446184,59.67799028941917,52.77437911841379
2240.175,Female,2.8792823670200713e-4,2.9282210090413735e-4,2.829121601106598e-4,91.99631903286551,97.11619622286362,86.97562768784769,35.80830623609513,38.46129300935296,33.2669178561982,5.477898746429501,5.741903660343547,5.217502236856986,56.236119829140094,59.681356780563625,52.77898834406427
2246.2625,Female,2.878812589047513e-4,2.927731830114544e-4,2.828671998517736e-4,92.0325462329284,97.15564413068542,87.00871961216039,35.83677884861537,38.491244368423224,33.29394846348907,5.480547182743986,5.74466538551082,5.220038737733343,56.23997478724387,59.684589040750154,52.7834704950595
2252.35,Female,2.878343749063169e-4,2.927243780275609e-4,2.828223133462687e-4,92.06851854388718,97.19482074684066,87.04157270045258,35.86515329346589,38.52109348622199,33.32088494603493,5.483180097171587,5.747411068514523,5.2225602330043435,56.243700465448256,59.68768849946248,52.787826887186185
2258.4375,Female,2.877875844625348e-4,2.9267568552887786e-4,2.8277750053892715e-4,92.10423790362454,97.2337281074188,87.07418879404631,35.893430061034586,38.55084087074989,33.34772777639426,5.485797595416889,5.750140818259404,5.225066825191419,56.24729822067698,59.69065656964526,52.792058821237916
2264.525,Female,2.8774088732880264e-4,2.926271050935513e-4,2.8273276137181374e-4,92.13970623153692,97.27236822926585,87.10656971652583,35.92160963814383,38.58048702632869,33.37447742367816,5.488399782249196,5.752854742688013,5.227558615907514,56.25076939429219,59.69349464792103,52.79616758320933
2270.6125,Female,2.876942832601166e-4,2.9257863630145216e-4,2.826880957843412e-4,92.17492542874878,97.31074311020528,87.13871727394391,35.94969250808584,38.610032453637125,33.40113435358417,5.49098676151285,5.755552948791326,5.230035705867138,56.254115312298566,59.696204114805255,52.80015444448904
2276.7,Female,2.8764777201110525e-4,2.9253027873417836e-4,2.8264350371333776e-4,92.20989737832606,97.34885472925959,87.17063325502832,35.9776791506562,38.6394776497459,33.427699028429295,5.493558636137436,5.7582355426192455,5.232498194896277,56.25733728554999,59.69878633492448,52.80402066205489
2282.7875,Female,2.8760135333606046e-4,2.924820319750551e-4,2.8259898509311104e-4,92.24462394548634,97.38670504686668,87.20231943138525,36.00557004218795,38.66882310815239,33.45417190718275,5.496115508147848,5.760902629290924,5.2349461819421785,56.26043660994571,59.70124265722318,52.807767478659635
2288.875,Female,2.875550269889641e-4,2.924338956091312e-4,2.8255453985550694e-4,92.27910697780314,97.42429600509197,87.2337775576964,36.03336565558548,38.69806931881551,33.48055344549878,5.498657478674204,5.763554313004995,5.237379765082995,56.26341456662711,59.703574415171175,52.811396123016394
2294.9625,Female,2.8750879272351895e-4,2.9238586922318e-4,2.8251016792997237e-4,92.31334830541194,97.46162952784042,87.26500937191857,36.0610664603572,38.72721676818963,33.50684409574854,5.501184647961646,5.7661906970496055,5.23979904153729,56.266272422171106,59.70578292696755,52.81490780998199
2301.05,Female,2.8746265029317884e-4,2.9233795240570046e-4,2.824658692436166e-4,92.34734974121086,97.49870752106449,87.29601659547687,36.08867292264805,38.75626593925761,33.53304430705145,5.503697115380033,5.76881188381242,5.24220410767347,56.269011428782676,59.707869495743864,52.818303740738955
2307.1375,Female,2.8741659945117454e-4,2.9229014474691363e-4,2.8242164372126746e-4,92.38111308105762,97.53553187296849,87.32680093345536,36.11618550527204,38.7852173115646,33.55915452530685,5.506194979433434,5.771417974790356,5.24459505901903,56.27163282447675,59.709835409755634,52.82158510296722
2313.225,Female,2.8737063995053956e-4,2.922424458387609e-4,0.00028237749128552783,92.41464010396618,97.5721044542106,87.35736407478744,36.14360466774414,38.814071361250484,33.58517519322475,5.5086783377695845,5.774009070599323,5.246971990269713,56.27413783327109,59.71168194258582,52.8247530710267
2319.3125,Female,2.8732477154414036e-4,2.9219485527490587e-4,2.8233341185683467e-4,92.44793257230016,97.60842711810402,87.38770769244202,36.17093086631136,38.84282856108234,33.61110675035624,5.511147287189178,5.77658527098375,5.249334995298547,56.27652766536307,59.71341035333122,52.82780880612456
2325.4,Female,2.8727899398469644e-4,2.921473726507274e-4,2.8228940535350886e-4,92.48099223196155,97.64450170081145,87.41783344360634,36.19816455398431,38.87148938048642,33.63694963312378,5.513601923655002,5.779146674826019,5.25168416716475,56.27880351730933,59.71502188679161,52.83075345648465
2331.4875,Female,2.872333070248109e-4,2.9209999756332327e-4,2.8224547169181406e-4,92.51382081258016,97.68033002154145,87.44774296986843,36.225306180567856,38.90005428558,33.662704274851016,5.516042342301036,5.781693380155771,5.254019598122535,56.2809665722042,59.716517773658154,52.83358815751735
2337.575,Female,2.871877104169905e-4,2.9205272961150343e-4,2.8220161078600477e-4,92.54642002769798,97.71591388273929,87.47743789739575,36.25235619269094,38.92852373920184,33.68837110579184,5.518468637441367,5.784225484159112,5.256341379629805,56.28301799985216,59.71789923069479,52.836314031981274
2343.6625,Female,2.871422039136719e-4,2.92005568395791e-4,2.8215782254838016e-4,92.5787915749513,97.7512550702747,87.50691983711062,36.27931503383734,38.95689820094413,33.71395055316005,5.520880902578981,5.7867430831876385,5.258649602356687,56.28495895694181,59.71916746092177,52.83893219014885
2349.75,Female,2.870967872672431e-4,2.9195851351841755e-4,2.8211410688933265e-4,92.61093713625195,97.78635535363037,87.53619038486526,36.30618314437496,38.98517812718225,33.73944304115768,5.523279230414508,5.789246272767421,5.2609443561940354,56.286790587209545,59.72032365378809,52.841443729961156
2355.8375,Female,2.8705146023006665e-4,2.919115645833215e-4,2.8207046371739775e-4,92.64285837796486,97.82121648608461,87.5652511216139,36.33296096158487,39.01336397110491,33.76484899100331,5.525663712854809,5.791735147607829,5.263225730261752,56.28851402161587,59.7213689853573,52.84384973719412
2361.925,Female,2.870062225545022e-4,2.918647211961463e-4,2.8202689293930285e-4,92.67455695108343,97.85584020489357,87.5941036135811,36.359648919690834,39.0414561827445,33.7901688209606,5.528034441021428,5.794209801610247,5.265493812917047,56.290130378498034,59.72230461846821,52.8461512856035
2368.0125,Female,2.869610739929253e-4,2.9181798296423436e-4,2.819833944600117e-4,92.70603449140215,97.89022823146973,87.62274941242882,36.38624744988721,39.06945520900567,33.81540294636532,5.530391505259,5.796670327876695,5.2677486917625735,56.29164076373849,59.72313170291246,52.848349437084245
2374.1,Female,2.869160142977522e-4,2.9177134949662876e-4,2.8193996818277477e-4,92.73729261968778,97.92438227155873,87.65119005542236,36.41275698036788,39.0973614936953,33.840551779653374,5.532734995143477,5.7991168187182955,5.269990453654438,56.29304627092449,59.723851375602585,52.85044524182115
2380.1875,Female,2.868710432214546e-4,2.9172482040406395e-4,2.818966140091682e-4,92.76833294184853,97.95830401541517,87.67942706559236,36.43917793635365,39.12517547755042,33.865615730387475,5.535064999490345,5.801549365663711,5.272219184710182,56.29434798149937,59.7244647607314,52.85243973843265
2386.275,Female,2.8682616051658484e-4,2.916783952989683e-4,2.818533318391443e-4,92.79915704909924,97.99199513797276,87.70746195189504,36.465510740120344,39.15289759826738,33.89059520528407,5.53738160636261,5.8039680594673815,5.274434970316549,56.2955469649242,59.724972969942236,52.854333954123206
2392.3625,Female,2.8678136593579225e-4,2.916320737954576e-4,2.818101215710713e-4,92.82976651812608,98.02545729901536,87.73529620937141,36.49175581102562,39.18052829052941,33.91549060823984,5.539684903078808,5.806372990117717,5.276637895137257,56.29664427882706,59.7253771024862,52.8561289048252
2398.45,Female,2.867366592318393e-4,2.915858555093293e-4,2.8176698310177357e-4,92.86016291124818,98.05869214334437,87.76293131930223,36.517913565535935,39.20806798603421,33.94030234035727,5.5419749762208275,5.808764246845194,5.2788280431206225,56.29764096915128,59.725678245378234,52.85782559533889
2404.5375,Female,2.866920401576263e-4,2.915397400580647e-4,2.8172391632657923e-4,92.89034777657724,98.09170130094344,87.79036874936334,36.54398441725383,39.23551711352213,33.96503079997143,5.5442519116416635,5.811141918130279,5.281005497507072,56.29853807030679,59.72587747355652,52.85942501947579
2410.625,Female,2.8664750846620253e-4,2.9149372706081903e-4,2.816809211393542e-4,92.92032264817605,98.12448638714308,87.81760995377736,36.5699687769436,39.26287609880265,33.98967638267475,5.54651579447308,5.813506091711328,5.283170340836604,56.29933660531396,59.725975850033976,52.8609281601951
2416.7125,Female,2.866030639107867e-4,2.914478161384208e-4,2.8163799743254563e-4,92.95008904621317,98.15704900278105,87.84465637346372,36.59586705255738,39.29014536478114,34.01423948134231,5.548766709133163,5.815856854592363,5.285322654956133,56.30003758594905,59.72597442605122,52.86233598974087
2422.8,Female,2.8655870624478354e-4,2.914020069133674e-4,2.815951450972196e-4,92.97964847711671,98.1893907343608,87.8715094361868,36.62167964926144,39.31732533148592,34.03872048615725,5.551004739333789,5.818194293050733,5.287462521026731,56.30064201288354,59.72587424122356,52.863649469774764
2428.8875,Female,2.865144352217994e-4,2.913562990098199e-4,2.8155236402309955e-4,93.00900243372608,98.22151315420936,87.89817055670231,36.64740696946077,39.344416416093644,34.063119784634715,5.5532299680879635,5.820518492644664,5.2895900195307854,56.30115087582508,59.72567632368908,52.864869551508846
2434.975,Female,2.864702505956561e-4,2.9131069205359735e-4,2.815096540986007e-4,93.038152395441,98.25341782063137,87.92464113690096,36.67304941282512,39.371419032956155,34.08743776164705,5.555442477717147,5.822829538220793,5.291705230279087,56.301565153657094,59.72538169025582,52.86599717583821
2441.0625,Female,2.86426152120411e-4,2.9126518567217666e-4,2.814670152108715e-4,93.06709982837042,98.2851062780636,87.95092256595206,36.698607376313056,39.39833359362502,34.11167479944699,5.557642349858399,5.825127513921518,5.293808232417801,56.30188581457039,59.72499134654014,52.867033273465516
2447.15,Female,2.863821395503683e-4,2.912197794946847e-4,2.8142444724582567e-4,93.0958461854764,98.3165800572236,87.97701622044255,36.724081254197024,39.425160506877425,34.135831277692,5.559829665471487,5.827412503192296,5.295899104435364,56.302113816200276,59.72450628711114,52.86797876503085
2453.2375,Female,2.863382126400945e-4,2.9117447315189424e-4,2.813819500881777e-4,93.1243929067193,98.3478406752603,88.00292346451668,36.74947143808785,39.45190017874153,34.15990757346801,5.562004504845894,5.8296845887888615,5.297977924169291,56.30225010575688,59.72392749562775,52.86883456123535
2459.325,Female,2.86294371144432e-4,2.9112926627621874e-4,2.8133952362147666e-4,93.15274141919936,98.37888963590052,88.02864565001279,36.77477831695775,39.478553012520216,34.18390406131201,5.564166947607731,5.83194385278432,5.3000447688129,56.30229562015525,59.72325594497571,52.869601562964256
2465.4125,Female,2.8625061481851467e-4,2.9108415850170974e-4,2.812971677281415e-4,93.18089313729622,98.40972842959441,88.05418411659774,36.800002277165156,39.50511940881619,34.20782111323545,5.566317072726583,5.8341903765762,5.30209971492197,56.30225128614354,59.722492597402386,52.87028066140858
2471.5,Female,2.8620694341777766e-4,2.9103914946404844e-4,2.812548822894903e-4,93.20884946280778,98.44035853365806,88.07954019190068,36.82514370247787,39.53159976555633,34.23165909874718,5.568454958522241,5.83642424089337,5.304142838421272,56.302118020428836,59.72163840464921,52.87087273818421
2477.5875,Female,2.861633566979762e-4,2.9099423880054557e-4,2.8121266718577763e-4,93.23661178508698,98.47078141241602,88.10471519164498,36.850202974095765,39.55799447801493,34.25541838487545,5.570580682671375,5.8386455258028995,5.306174214611058,56.30189672980377,59.72069430808489,52.87137866545188
2483.675,Female,2.861198544151916e-4,2.909494261501309e-4,2.8117052229621964e-4,93.2641814811764,98.50099851734068,88.12971041977816,36.875180470674344,39.584303938837714,34.279099336190306,5.572694322214151,5.8408543107168445,5.30819391817349,56.30158831126448,59.71966123882945,52.87179930602914
2489.7625,Female,2.8607643632584814e-4,2.909047111533525e-4,2.8112844749902987e-4,93.29155991593959,98.5310112871882,88.15452716859829,36.900076568347316,39.610528538065296,34.30270231482591,5.574795953560635,5.843050674398874,5.310202023178881,56.3011936521381,59.71854011788852,52.87213551351112
